# Section_Number	BlFract	Rotor_radius	Structural_Twist	Mass_Length	FlapBendStiff	EdgeBendStiff	FlapShearStiff	EdgeShearStiff	Cross_Section_Area	Average_shear_modulus	shear_factor_flapwise	shear_factor_edgewise	TorsStiff	EAStiff	R_gyr_flap	R_gyr_edge	x_m	y_m	x_e	y_e	x_s	y_s
# (-)	(-)	(m)	(deg)	(kg/m)	(Nm^2)	(Nm^2)	(N)	(N)	(m^2)	(Pa)	(-)	(-)	(Nm^2)	(N)	(m)	(m)	(m)	(m)	(m)	(m)	(m)	(m)
17	3.2498900030104400E-01	3.0868000000000000E+01	-4.5300000000000000E+00	5.8097000000000000E+02	6.0932400000000000E+09	1.7663000000000000E+10	4.8605800000000000E+08	6.0169200000000000E+08	1.1038716341600000E+00	1.4243280889400000E+09	3.0914334076600000E-01	3.8268852091900000E-01	1.2425100000000000E+09	8.5573000000000000E+09	7.7160000000000000E-01	1.5349000000000000E+00	5.8850000000000000E-01	2.9800000000000000E-02	7.5380000000000000E-01	2.3500000000000000E-02	1.3093000000000000E+00	8.4400000000000000E-02
18	3.4498529513929100E-01	3.2595000000000000E+01	-4.2520000000000000E+00	5.6623000000000000E+02	5.3973000000000000E+09	1.6509600000000000E+10	4.6559600000000000E+08	5.7465000000000000E+08	1.0702895223200000E+00	1.4301581099500000E+09	3.0417528738000000E-01	3.7542080694600000E-01	1.0895300000000000E+09	8.3832200000000000E+09	7.3410000000000000E-01	1.5023000000000000E+00	6.0650000000000000E-01	2.3300000000000000E-02	7.7210000000000000E-01	1.6800000000000000E-02	1.3213000000000000E+00	7.2300000000000000E-02
19	3.6499316860801700E-01	3.4323000000000000E+01	-4.1030000000000000E+00	5.4824000000000000E+02	4.7979600000000000E+09	1.5044900000000000E+10	4.4571800000000000E+08	5.6469200000000000E+08	1.0059235340500000E+00	1.4815984381600000E+09	2.9906427280000000E-01	3.7889235537100000E-01	9.6188300000000000E+08	8.1920700000000000E+09	7.0100000000000000E-01	1.4623000000000000E+00	6.1110000000000000E-01	1.9100000000000000E-02	7.9060000000000000E-01	1.2400000000000000E-02	1.3075000000000000E+00	6.2900000000000000E-02
20	3.8498946344626400E-01	3.6050000000000000E+01	-3.9260000000000000E+00	5.2965000000000000E+02	4.2608100000000000E+09	1.3537500000000000E+10	4.2006400000000000E+08	5.3674300000000000E+08	9.7204568400300000E-01	1.4772064299300000E+09	2.9254145554400000E-01	3.7379957050200000E-01	8.3347600000000000E+08	7.9531600000000000E+09	6.7070000000000000E-01	1.4183000000000000E+00	6.2690000000000000E-01	1.7500000000000000E-02	8.0970000000000000E-01	1.0600000000000000E-02	1.2972000000000000E+00	5.9200000000000000E-02
21	4.0499733691499000E-01	3.7778000000000000E+01	-3.6510000000000000E+00	5.1031000000000000E+02	3.7905400000000000E+09	1.2427900000000000E+10	3.9851400000000000E+08	5.2580600000000000E+08	8.9453603388800000E-01	1.5620724504800000E+09	2.8519648937000000E-01	3.7629336902300000E-01	7.4452400000000000E+08	7.7639700000000000E+09	6.4210000000000000E-01	1.3798000000000000E+00	6.3370000000000000E-01	1.7500000000000000E-02	8.0990000000000000E-01	1.0700000000000000E-02	1.2796000000000000E+00	5.7600000000000000E-02
22	4.2499363175323600E-01	3.9505000000000000E+01	-3.3500000000000000E+00	4.9468000000000000E+02	3.3501200000000000E+09	1.1478300000000000E+10	3.7653300000000000E+08	5.1258600000000000E+08	8.6314937587800000E-01	1.5711576555200000E+09	2.7764941463000000E-01	3.7797325768400000E-01	6.5438300000000000E+08	7.5551400000000000E+09	6.1230000000000000E-01	1.3437000000000000E+00	6.2120000000000000E-01	1.8500000000000000E-02	7.9420000000000000E-01	1.1900000000000000E-02	1.2485000000000000E+00	5.7800000000000000E-02
23	4.4500150522196200E-01	4.1233000000000000E+01	-3.0920000000000000E+00	4.7751000000000000E+02	2.9552400000000000E+09	1.0440000000000000E+10	3.5645100000000000E+08	4.8434200000000000E+08	8.3078430157300000E-01	1.5722320855600000E+09	2.7289462387300000E-01	3.7080604891300000E-01	5.7080700000000000E+08	7.3277800000000000E+09	5.8440000000000000E-01	1.3017000000000000E+00	6.1670000000000000E-01	1.9800000000000000E-02	7.8310000000000000E-01	1.3200000000000000E-02	1.2256000000000000E+00	5.8800000000000000E-02
24	4.6399045920848500E-01	4.2873000000000000E+01	-2.8860000000000000E+00	4.6093000000000000E+02	2.6181000000000000E+09	9.4680600000000000E+09	3.3761300000000000E+08	4.7145000000000000E+08	7.9230514231500000E-01	1.5934954366400000E+09	2.6740864174400000E-01	3.7341587272400000E-01	5.0289800000000000E+08	7.1084500000000000E+09	5.5880000000000000E-01	1.2664000000000000E+00	5.9930000000000000E-01	2.1500000000000000E-02	7.6830000000000000E-01	1.5000000000000000E-02	1.1896000000000000E+00	5.9400000000000000E-02
25	4.8399833267721100E-01	4.4601000000000000E+01	-2.6460000000000000E+00	4.4178000000000000E+02	2.2963100000000000E+09	8.5026000000000000E+09	3.1475300000000000E+08	4.5938900000000000E+08	7.4925536690300000E-01	1.6199735159300000E+09	2.5931734525900000E-01	3.7847979594800000E-01	4.4318600000000000E+08	6.8530500000000000E+09	5.3360000000000000E-01	1.2237000000000000E+00	5.8520000000000000E-01	2.3200000000000000E-02	7.5440000000000000E-01	1.6900000000000000E-02	1.1587000000000000E+00	6.0500000000000000E-02
26	5.0399462751545800E-01	4.6328000000000000E+01	-2.4110000000000000E+00	4.2533000000000000E+02	2.0143700000000000E+09	7.7039500000000000E+09	2.9875500000000000E+08	4.4657100000000000E+08	7.1224347118200000E-01	1.6443314869100000E+09	2.5509220441600000E-01	3.8130545192800000E-01	3.9184400000000000E+08	6.6237600000000000E+09	5.0860000000000000E-01	1.1894000000000000E+00	5.6650000000000000E-01	2.5000000000000000E-02	7.3490000000000000E-01	1.8900000000000000E-02	1.1275000000000000E+00	6.1100000000000000E-02
27	5.2399092235370400E-01	4.8055000000000000E+01	-2.2550000000000000E+00	4.0138000000000000E+02	1.7566000000000000E+09	6.6442400000000000E+09	2.8232700000000000E+08	4.1787100000000000E+08	6.5398008499400000E-01	1.6924819059400000E+09	2.5507269892700000E-01	3.7753153600800000E-01	3.3785800000000000E+08	6.3081500000000000E+09	4.8770000000000000E-01	1.1343000000000000E+00	5.7440000000000000E-01	2.6000000000000000E-02	7.3030000000000000E-01	2.0200000000000000E-02	1.0935000000000000E+00	6.2100000000000000E-02
28	5.4399879582243000E-01	4.9783000000000000E+01	-2.0470000000000000E+00	3.8514000000000000E+02	1.5348900000000000E+09	5.9730800000000000E+09	2.6367500000000000E+08	4.0509500000000000E+08	6.2984928542800000E-01	1.6874926857600000E+09	2.4807945838600000E-01	3.8113422151800000E-01	2.9708400000000000E+08	6.0584900000000000E+09	4.6510000000000000E-01	1.1001000000000000E+00	5.5420000000000000E-01	2.7300000000000000E-02	7.0790000000000000E-01	2.1700000000000000E-02	1.0607000000000000E+00	6.2100000000000000E-02
29	5.6399509066067700E-01	5.1510000000000000E+01	-1.8550000000000000E+00	3.6595000000000000E+02	1.3455800000000000E+09	5.3289300000000000E+09	2.5163500000000000E+08	3.9255500000000000E+08	5.6682976910800000E-01	1.7997546392900000E+09	2.4666334633300000E-01	3.8479968177700000E-01	2.6399800000000000E+08	5.8241800000000000E+09	4.4550000000000000E-01	1.0577000000000000E+00	5.4720000000000000E-01	2.8000000000000000E-02	6.8880000000000000E-01	2.2800000000000000E-02	1.0269000000000000E+00	6.2200000000000000E-02
30	5.8399138549892300E-01	5.3237000000000000E+01	-1.6960000000000000E+00	3.4694000000000000E+02	1.1689200000000000E+09	4.6692400000000000E+09	2.3343800000000000E+08	3.6515900000000000E+08	5.4336643423200000E-01	1.7709430860300000E+09	2.4259098121100000E-01	3.7947637279200000E-01	2.2515800000000000E+08	5.5295900000000000E+09	4.2620000000000000E-01	1.0190000000000000E+00	5.3130000000000000E-01	2.8500000000000000E-02	6.7000000000000000E-01	2.3500000000000000E-02	9.9200000000000000E-01	6.2000000000000000E-02
31	6.0499502118889400E-01	5.5051000000000000E+01	-1.5630000000000000E+00	3.2632000000000000E+02	1.0151200000000000E+09	3.9914100000000000E+09	2.2180800000000000E+08	3.5110800000000000E+08	4.8415270057800000E-01	1.8892620158100000E+09	2.4249529127700000E-01	3.8385449569400000E-01	1.9846300000000000E+08	5.2517900000000000E+09	4.0850000000000000E-01	9.6690000000000000E-01	5.2480000000000000E-01	2.8500000000000000E-02	6.5460000000000000E-01	2.3900000000000000E-02	9.5440000000000000E-01	6.1100000000000000E-02
32	6.2500289465762000E-01	5.6779000000000000E+01	-1.4170000000000000E+00	3.1027000000000000E+02	8.8538900000000000E+08	3.5397400000000000E+09	2.0867900000000000E+08	3.3890700000000000E+08	4.5511732836800000E-01	1.9156591373100000E+09	2.3935186574200000E-01	3.8872217293800000E-01	1.7482200000000000E+08	5.0072400000000000E+09	3.9090000000000000E-01	9.3540000000000000E-01	5.0220000000000000E-01	2.8600000000000000E-02	6.3060000000000000E-01	2.4100000000000000E-02	9.2080000000000000E-01	5.9700000000000000E-02
33	6.4499918949586600E-01	5.8506000000000000E+01	-1.2890000000000000E+00	2.9166000000000000E+02	7.7150900000000000E+08	3.0498500000000000E+09	1.9883400000000000E+08	3.1367000000000000E+08	4.1387479564600000E-01	1.9876679565300000E+09	2.4170014360500000E-01	3.8129466100600000E-01	1.5236400000000000E+08	4.7378600000000000E+09	3.7570000000000000E-01	8.9360000000000000E-01	4.9640000000000000E-01	2.8000000000000000E-02	6.1320000000000000E-01	2.3800000000000000E-02	8.8940000000000000E-01	5.8800000000000000E-02
34	6.6499548433411300E-01	6.0233000000000000E+01	-1.1870000000000000E+00	2.7243000000000000E+02	6.6836200000000000E+08	2.6158800000000000E+09	1.8559300000000000E+08	2.9934100000000000E+08	3.7392226852700000E-01	2.0689054385600000E+09	2.3990559880100000E-01	3.8694107677300000E-01	1.3257100000000000E+08	4.4506600000000000E+09	3.6130000000000000E-01	8.5380000000000000E-01	4.8160000000000000E-01	2.7300000000000000E-02	5.8930000000000000E-01	2.3500000000000000E-02	8.4760000000000000E-01	5.7000000000000000E-02
35	6.8500335780283900E-01	6.1961000000000000E+01	-1.0950000000000000E+00	2.5695000000000000E+02	5.7810300000000000E+08	2.2712300000000000E+09	1.7410100000000000E+08	2.8779100000000000E+08	3.5598616972300000E-01	2.0519829454200000E+09	2.3833822740400000E-01	3.9397635456700000E-01	1.1651700000000000E+08	4.1845000000000000E+09	3.4610000000000000E-01	8.2280000000000000E-01	4.5930000000000000E-01	2.6700000000000000E-02	5.6520000000000000E-01	2.2900000000000000E-02	8.1400000000000000E-01	5.4600000000000000E-02
36	7.0499965264108600E-01	6.3688000000000000E+01	-9.9500000000000000E-01	2.3777000000000000E+02	4.9951200000000000E+08	1.9218700000000000E+09	1.6309700000000000E+08	2.6494600000000000E+08	3.1098430664900000E-01	2.1981995641000000E+09	2.3858315400100000E-01	3.8757079350200000E-01	1.0138500000000000E+08	3.9019800000000000E+09	3.3400000000000000E-01	7.8360000000000000E-01	4.4970000000000000E-01	2.5500000000000000E-02	5.4770000000000000E-01	2.2000000000000000E-02	7.8360000000000000E-01	5.2800000000000000E-02
37	7.2428965102007700E-01	6.5354000000000000E+01	-9.2200000000000000E-01	2.2177000000000000E+02	4.2916700000000000E+08	1.6665600000000000E+09	1.5313000000000000E+08	2.5404900000000000E+08	2.8769905722500000E-01	2.2224548589000000E+09	2.3949097204200000E-01	3.9732475999000000E-01	8.9163500000000000E+07	3.6347300000000000E+09	3.2070000000000000E-01	7.5700000000000000E-01	4.2560000000000000E-01	2.4700000000000000E-02	5.2210000000000000E-01	2.1200000000000000E-02	7.5150000000000000E-01	5.0200000000000000E-02
38	7.4428594585832400E-01	6.7081000000000000E+01	-8.6500000000000000E-01	2.0315000000000000E+02	3.6322300000000000E+08	1.3931100000000000E+09	1.4533600000000000E+08	2.4010800000000000E+08	2.5421676261400000E-01	2.3167559760600000E+09	2.4676833045900000E-01	4.0768187654000000E-01	7.7009000000000000E+07	3.3365900000000000E+09	3.0780000000000000E-01	7.2230000000000000E-01	4.0560000000000000E-01	2.3600000000000000E-02	4.9470000000000000E-01	2.0300000000000000E-02	7.0980000000000000E-01	4.7800000000000000E-02
39	7.6428224069657100E-01	6.8808000000000000E+01	-7.8200000000000000E-01	1.8677000000000000E+02	3.0475600000000000E+08	1.1845600000000000E+09	1.3548600000000000E+08	2.2001200000000000E+08	2.3845815767200000E-01	2.2659805470800000E+09	2.5074221654000000E-01	4.0717275819000000E-01	6.5622500000000000E+07	3.0497400000000000E+09	2.9440000000000000E-01	6.9630000000000000E-01	3.8380000000000000E-01	2.2600000000000000E-02	4.6960000000000000E-01	1.9400000000000000E-02	6.8120000000000000E-01	4.5900000000000000E-02
40	7.8427853553481700E-01	7.0535000000000000E+01	-7.4100000000000000E-01	1.7166000000000000E+02	2.5394100000000000E+08	9.9763300000000000E+08	1.2631600000000000E+08	2.0943200000000000E+08	2.2359794369100000E-01	2.2271101849600000E+09	2.5365821141500000E-01	4.2056444549000000E-01	5.6727900000000000E+07	2.7764400000000000E+09	2.8090000000000000E-01	6.7080000000000000E-01	3.5890000000000000E-01	2.1800000000000000E-02	4.4320000000000000E-01	1.8700000000000000E-02	6.4890000000000000E-01	4.3200000000000000E-02
41	8.0499270546279800E-01	7.2324000000000000E+01	-6.7200000000000000E-01	1.5375000000000000E+02	2.0821200000000000E+08	8.1502500000000000E+08	1.1716600000000000E+08	1.9042900000000000E+08	1.9312811285300000E-01	2.3267961753700000E+09	2.6073438087600000E-01	4.2376816275900000E-01	4.7991200000000000E+07	2.4885700000000000E+09	2.6880000000000000E-01	6.3850000000000000E-01	3.4740000000000000E-01	2.0600000000000000E-02	4.2140000000000000E-01	1.7700000000000000E-02	6.1870000000000000E-01	4.1100000000000000E-02
42	8.2500057893152400E-01	7.4052000000000000E+01	-6.4900000000000000E-01	1.4005000000000000E+02	1.7102800000000000E+08	6.8502100000000000E+08	1.0907700000000000E+08	1.8127200000000000E+08	1.7369259835300000E-01	2.3912712169700000E+09	2.6261823005000000E-01	4.3643510534300000E-01	4.1471900000000000E+07	2.2434700000000000E+09	2.5620000000000000E-01	6.1520000000000000E-01	3.2050000000000000E-01	1.9900000000000000E-02	3.9530000000000000E-01	1.7000000000000000E-02	5.8830000000000000E-01	3.8400000000000000E-02
43	8.4499687376977100E-01	7.5779000000000000E+01	-5.9900000000000000E-01	1.2435000000000000E+02	1.3811200000000000E+08	5.5397400000000000E+08	9.8845100000000000E+07	1.7486000000000000E+08	1.4704472449800000E-01	2.5599741549300000E+09	2.6258525254200000E-01	4.6452147621000000E-01	3.5678000000000000E+07	1.9812200000000000E+09	2.4500000000000000E-01	5.8680000000000000E-01	3.0340000000000000E-01	1.9100000000000000E-02	3.7020000000000000E-01	1.6400000000000000E-02	5.5670000000000000E-01	3.6900000000000000E-02
44	8.6444897297547700E-01	7.7459000000000000E+01	-5.7400000000000000E-01	1.0893000000000000E+02	1.0870700000000000E+08	4.6066000000000000E+08	9.0944100000000000E+07	1.5355800000000000E+08	1.2950390553200000E-01	2.5439450306000000E+09	2.7604770799600000E-01	4.6610412601200000E-01	2.8987500000000000E+07	1.7204400000000000E+09	2.3250000000000000E-01	5.7290000000000000E-01	2.7190000000000000E-01	1.8400000000000000E-02	3.3830000000000000E-01	1.5900000000000000E-02	5.2490000000000000E-01	3.4700000000000000E-02
45	8.8444526781372300E-01	7.9186000000000000E+01	-5.3900000000000000E-01	9.5180000000000000E+01	8.3939100000000000E+07	3.5904800000000000E+08	8.3202500000000000E+07	1.4294500000000000E+08	1.1748814614600000E-01	2.4672071492200000E+09	2.8703616095400000E-01	4.9313973718700000E-01	2.3902300000000000E+07	1.4671300000000000E+09	2.2000000000000000E-01	5.4880000000000000E-01	2.4940000000000000E-01	1.7900000000000000E-02	3.1460000000000000E-01	1.5400000000000000E-02	4.9900000000000000E-01	3.2300000000000000E-02
46	9.0499733691499000E-01	8.0961000000000000E+01	-5.7200000000000000E-01	8.2340000000000000E+01	6.3061900000000000E+07	2.9604900000000000E+08	7.4322700000000000E+07	1.3948200000000000E+08	9.5220383538000000E-02	2.7276283622300000E+09	2.8615842531600000E-01	5.3703367549500000E-01	2.0249300000000000E+07	1.2495900000000000E+09	2.0650000000000000E-01	5.3120000000000000E-01	2.1620000000000000E-01	1.7700000000000000E-02	2.7080000000000000E-01	1.5400000000000000E-02	4.6170000000000000E-01	3.0600000000000000E-02
47	9.2499363175323600E-01	8.2688000000000000E+01	-5.4700000000000000E-01	6.8280000000000000E+01	4.4276000000000000E+07	2.1714700000000000E+08	6.2776600000000000E+07	1.2319900000000000E+08	8.3088355623700000E-02	2.6211715175900000E+09	2.8824529995400000E-01	5.6567915595700000E-01	1.5537000000000000E+07	1.0064900000000000E+09	1.9150000000000000E-01	5.0840000000000000E-01	1.8870000000000000E-01	1.7000000000000000E-02	2.4310000000000000E-01	1.4900000000000000E-02	4.3020000000000000E-01	2.8400000000000000E-02
48	9.4454993863325800E-01	8.4377000000000000E+01	-5.9300000000000000E-01	5.4470000000000000E+01	2.8339800000000000E+07	1.5500000000000000E+08	4.9610900000000000E+07	1.1041600000000000E+08	6.6844473212900000E-02	2.6753543076700000E+09	2.7741524816700000E-01	6.1742687532900000E-01	1.1392300000000000E+07	7.7910700000000000E+08	1.7310000000000000E-01	4.8370000000000000E-01	1.4330000000000000E-01	1.6600000000000000E-02	2.0150000000000000E-01	1.4400000000000000E-02	3.9180000000000000E-01	2.5400000000000000E-02
49	9.6499780006020900E-01	8.6143000000000000E+01	-6.8800000000000000E-01	4.0650000000000000E+01	1.4481300000000000E+07	1.0037000000000000E+08	3.7580400000000000E+07	9.3949800000000000E+07	5.0172142945500000E-02	2.7702167161500000E+09	2.7038621169100000E-01	6.7595771736300000E-01	7.2137900000000000E+06	5.5386600000000000E+08	1.4760000000000000E-01	4.4570000000000000E-01	1.0140000000000000E-01	1.5400000000000000E-02	1.3760000000000000E-01	1.3800000000000000E-02	3.4140000000000000E-01	2.2300000000000000E-02
50	9.8500567352893500E-01	8.7871000000000000E+01	-7.9300000000000000E-01	2.5200000000000000E+01	4.4969500000000000E+06	4.1716300000000000E+07	2.3014700000000000E+07	6.4657200000000000E+07	3.5325331574900000E-02	2.5541534143000000E+09	2.5507790440300000E-01	7.1661128383900000E-01	2.9357200000000000E+06	3.0740300000000000E+08	1.1060000000000000E-01	3.7520000000000000E-01	4.7400000000000000E-02	1.3200000000000000E-02	6.8900000000000000E-02	1.2200000000000000E-02	2.7090000000000000E-01	1.7300000000000000E-02
